file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-testing\src\test\test_sourcecode\javasymbolsolver_0_6_0\src\java-symbol-solver-core\com\github\javaparser\symbolsolver\javaparsermodel\contexts\ConstructorContext.java,com.github.javaparser.symbolsolver.javaparsermodel.contexts.ConstructorContext,class,3,7,1,6,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-testing\src\test\java\com\github\javaparser\symbolsolver\reflectionmodel\ReflectionEnumDeclarationTest.java,com.github.javaparser.symbolsolver.reflectionmodel.ReflectionEnumDeclarationTest,class,5,5,0,5,13,2,0,17,0,0.0,1.0,1.0,13,0,0,0,0,13,13,0,0,0,1,0,0,1,0,0,0,0,1,61,0,0,0,0,0,16,0,14,0,14,1,0,0,2,28,0,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-testing\src\test\resources\issue1945\issue1945\main\MainIssue1945.java,issue1945.main.MainIssue1945,class,4,4,0,4,6,1,0,3,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,28,0,0,0,0,0,0,0,8,0,8,0,0,0,0,15,1,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\utils\SourceZip.java,com.github.javaparser.utils.SourceZip,class,9,12,3,9,10,1,0,17,0,0.35714287,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,10,48,5,1,0,1,0,5,0,7,0,8,3,0,1,5,78,1,4
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-core\src\main\java\com\github\javaparser\symbolsolver\reflectionmodel\ReflectionPatternDeclaration.java,com.github.javaparser.symbolsolver.reflectionmodel.ReflectionPatternDeclaration,class,4,4,0,4,9,1,0,1,20,0.7083333,0.14285715,0.21428572,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,1,31,7,0,1,0,0,0,0,3,0,3,0,0,0,0,31,1,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-testing\src\test\test_sourcecode\javaparser_src\proper_source\com\github\javaparser\ast\expr\AssignExpr.java,com.github.javaparser.ast.expr.AssignExpr$Operator,enum,0,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-core-testing\src\test\java\com\github\javaparser\printer\lexicalpreservation\TransformationsTest.java,com.github.javaparser.printer.lexicalpreservation.TransformationsTest,class,16,16,0,16,23,2,0,34,253,0.0,0.0,0.0,23,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,26,151,0,0,0,0,0,159,22,34,20,34,0,0,0,0,135,0,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\resolution\TypeSolver.java,com.github.javaparser.resolution.TypeSolver,interface,4,9,5,4,9,1,0,8,21,0.85714287,0.0,0.0,7,0,0,0,0,7,7,0,0,0,1,0,0,0,0,1,0,0,0,29,5,0,1,0,0,0,0,2,0,2,1,0,0,0,77,1,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-symbol-solver-testing\src\test\test_sourcecode\javaparser_src\proper_source\com\github\javaparser\ast\expr\IntegerLiteralExpr.java,com.github.javaparser.ast.expr.IntegerLiteralExpr,class,5,47,33,14,8,5,2,4,15,0.9166666,0.0,0.0,6,0,6,0,0,0,6,0,1,0,2,2,0,1,1,0,2,0,0,21,2,0,2,0,0,2,1,2,1,2,0,0,0,0,27,1,0
C:\Users\PROFESSOR\Downloads\projects\javaparser-master\javaparser-core\src\main\java\com\github\javaparser\printer\lexicalpreservation\changes\ListAdditionChange.java,com.github.javaparser.printer.lexicalpreservation.changes.ListAdditionChange,class,5,6,1,5,6,1,0,8,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,34,3,0,1,0,1,1,0,8,1,7,2,0,0,0,31,1,0
